"","x"
"1","Cyromazine"
"2","Acephate"
"3","Dinotefuran"
"4","Thiabendazole"
"5","2,4-DMPF"
"6","Oxytetracycline"
"7","Thiamethoxam"
"8","Clothianidin"
"9","Mevinphos"
"10","Imidacloprid"
"11","Acetamiprid"
"12","Flupyradifurone"
"13","Thiacloprid"
"14","Sulfoxaflor"
"15","Tebuthiuron"
"16","Prometon"
"17","Cyanazine"
"18","Thiophanate-methyl"
"19","Ametryn"
"20","Methoprotryne"
"21","Bendiocarb"
"22","Malaoxon"
"23","Carbofuran"
"24","Pyrimethanil"
"25","Carbaryl"
"26","Atrazine"
"27","Fluometuron"
"28","Sulfentrazone"
"29","4-Hydroxy-chlorothalonil"
"30","Diuron"
"31","Metalaxyl"
"32","Cyantraniliprole"
"33","Metobromuron"
"34","Prometryn"
"35","Terbutryn"
"36","Metazachlor"
"37","Clomazone"
"38","Propazine"
"39","Chlorantraniliprole"
"40","Methiocarb"
"41","Phenmedipham"
"42","Fluazifop"
"43","Flumioxazin"
"44","Cyprodinil"
"45","Fludioxonil"
"46","Spirotetramat"
"47","Bromuconazole"
"48","Phosmet"
"49","Azoxystrobin"
"50","Fenamidone"
"51","Myclobutanil"
"52","Triadimefon"
"53","Boscalid"
"54","Fluxapyroxad"
"55","Fenhexamid"
"56","Mandipropamid"
"57","Napropamide"
"58","Fluopicolide"
"59","Tetraconazole"
"60","Tebuconazole"
"61","Fluopyram"
"62","Methoxyfenozide"
"63","Spinosad"
"64","Diflubenzuron"
"65","Fenbuconazole"
"66","Metolachlor"
"67","Metconazole"
"68","Flufenacet"
"69","Dimoxystrobin"
"70","Fluoxastrobin"
"71","Fumagillin"
"72","Propiconazole"
"73","Tebufenozide"
"74","Spinetoram"
"75","Triflumizole"
"76","Fipronil"
"77","Difenoconazole"
"78","Picoxystrobin"
"79","Penthiopyrad"
"80","Coumaphos"
"81","Pyraclostrobin"
"82","Thiobencarb"
"83","Hexaflumuron"
"84","Profenophos"
"85","Cyflufenamid"
"86","Indoxacarb"
"87","Trifloxystrobin"
"88","Piperonyl_butoxide"
"89","Tetramethrin"
"90","Fluazinam"
"91","Pyriproxyfen"
"92","Chlorpyrifos"
"93","Fenpyroximate"
"94","Avermectin_B1a"
"95","total"
