ai,type
"2,4-DMPF",Insecticide
4-Hydroxy-chlorothalonil,Fungicide
Acephate,Insecticide
Acetamiprid,Insecticide
Ametryn,Herbicide
Atrazine,Herbicide
Avermectin_B1a,Insecticide
Azoxystrobin,Fungicide
Bendiocarb,Insecticide
Boscalid,Fungicide
Bromuconazole,Fungicide
Carbaryl,Insecticide
Carbofuran,Insecticide
Chlorantraniliprole,Insecticide
Chlorpyrifos,Insecticide
Clomazone,Herbicide
Clothianidin,Insecticide
Coumaphos,Insecticide
Cyanazine,Herbicide
Cyantraniliprole,Insecticide
Cyflufenamid,Fungicide
Cyprodinil,Fungicide
Cyromazine,Insecticide
Difenoconazole,Fungicide
Diflubenzuron,Insecticide
Dimoxystrobin,Fungicide
Dinotefuran,Insecticide
Diuron,Herbicide
Fenamidone,Fungicide
Fenbuconazole,Fungicide
Fenhexamid,Fungicide
Fenpyroximate,Insecticide
Fipronil,Insecticide
Fluazifop,Herbicide
Fluazinam,Fungicide
Fludioxonil,Fungicide
Flufenacet,Herbicide
Flumioxazin,Herbicide
Fluometuron,Herbicide
Fluopicolide,Fungicide
Fluopyram,Fungicide
Fluoxastrobin,Fungicide
Flupyradifurone,Insecticide
Fluxapyroxad,Fungicide
Fumagillin,Fungicide
Hexaflumuron,Insecticide
Imidacloprid,Insecticide
Indoxacarb,Insecticide
Malaoxon,Insecticide
Mandipropamid,Fungicide
Metalaxyl,Fungicide
Metazachlor,Herbicide
Metconazole,Fungicide
Methiocarb,Insecticide
Methoprotryne,Herbicide
Methoxyfenozide,Insecticide
Metobromuron,Herbicide
Metolachlor,Herbicide
Mevinphos,Insecticide
Myclobutanil,Fungicide
Napropamide,Herbicide
Oxytetracycline,antibiotic
Penthiopyrad,Fungicide
Phenmedipham,Herbicide
Phosmet,Insecticide
Picoxystrobin,Fungicide
Piperonyl_butoxide,Synergist
Profenophos,Insecticide
Prometon,Herbicide
Prometryn,Herbicide
Propazine,Herbicide
Propiconazole,Fungicide
Pyraclostrobin,Fungicide
Pyrimethanil,Fungicide
Pyriproxyfen,Insecticide
Spinetoram,Insecticide
Spinosad,Insecticide
Spirotetramat,Insecticide
Sulfentrazone,Herbicide
Sulfoxaflor,Insecticide
Tebuconazole,Fungicide
Tebufenozide,Insecticide
Tebuthiuron,Herbicide
Terbutryn,Herbicide
Tetraconazole,Fungicide
Tetramethrin,Insecticide
Thiabendazole,Fungicide
Thiacloprid,Insecticide
Thiamethoxam,Insecticide
Thiobencarb,Herbicide
Thiophanate-methyl,Fungicide
Triadimefon,Fungicide
Trifloxystrobin,Fungicide
Triflumizole,Fungicide
