SampleID,Plate_number,Plate_name,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit,Code,Number_2,Primer,Linker,Linker_2,Combine_1,Combine_2,Combine_3,Decontam,Site_type_Sampling_timing
RF245.073.Plate1.D10.799FMod3.1115R.Tobias.F,1,Plate,D10,Tobias,F,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,73,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.074.Plate1.E10.799FMod3.1115R.Tobias.F,1,Plate,E10,Tobias,F,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,74,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.075.Plate1.F10.799FMod3.1115R.Tobias.M,1,Plate,F10,Tobias,M,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,75,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.076.Plate1.G10.799FMod3.1115R.Tobias.M,1,Plate,G10,Tobias,M,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,76,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.077.Plate1.H10.799FMod3.1115R.Tobias.F,1,Plate,H10,Tobias,F,fl,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,77,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.078.Plate1.A11.799FMod3.1115R.Tobias.F,1,Plate,A11,Tobias,F,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,78,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.079.Plate1.B11.799FMod3.1115R.Tobias.M,1,Plate,B11,Tobias,M,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,79,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.080.Plate1.C11.799FMod3.1115R.Tobias.M,1,Plate,C11,Tobias,M,e,5/16/2022,late,9,Residential,4/5/2022,8/1/2022,16,RF245,80,799FMod3.1115R,.,_,Residential_late_Tobias,Residential_late_Tobias_M,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.105.Plate2.F2.799FMod3.1115R.Danforth.F,2,Plate,F2,Danforth,F,dl,5/19/2022,late,10,Residential,4/5/2022,8/3/2022,17,RF245,105,799FMod3.1115R,.,_,Residential_late_Danforth,Residential_late_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_late
RF245.106.Plate2.G2.799FMod3.1115R.Danforth.F,2,Plate,G2,Danforth,F,dl,5/19/2022,late,10,Residential,4/5/2022,8/3/2022,17,RF245,106,799FMod3.1115R,.,_,Residential_late_Danforth,Residential_late_Danforth_F,Residential_early_Tobias_F_e,Sample,Residential_late
